,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
236,new york,2021-09-10 20,22.1,22.1,9.9,45.68,0.0,0,,0.0,0.0,,0.8,353.0,1015.9,0.4,16.0,7.0,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
237,new york,2021-09-10 21,21.6,21.6,9.3,45.32,0.0,0,,0.0,0.0,,0.5,359.0,1017.0,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
238,new york,2021-09-10 22,21.1,21.1,11.0,52.67,0.0,0,,0.0,0.0,,5.6,254.0,1017.5,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
239,new york,2021-09-10 23,20.6,20.6,11.5,56.09,0.0,0,,0.0,0.0,,5.6,251.0,1018.3,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
240,new york,2021-09-11 00,19.9,19.9,11.6,58.7,0.0,0,,0.0,0.0,,7.5,262.0,1019.0,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
241,new york,2021-09-11 01,19.3,19.3,11.6,60.98,0.0,0,,0.0,0.0,,7.3,254.0,1019.5,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
242,new york,2021-09-11 02,18.8,18.8,11.6,62.94,0.0,0,,0.0,0.0,,10.7,273.0,1020.0,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
243,new york,2021-09-11 03,18.3,18.3,11.0,62.54,0.0,0,,0.0,0.0,,7.2,262.0,1020.0,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
244,new york,2021-09-11 04,18.3,18.3,11.1,62.78,0.0,0,,0.0,0.0,,7.5,270.0,1020.4,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
245,new york,2021-09-11 05,18.7,18.7,11.6,63.29,0.0,0,,0.0,0.0,,0.2,358.0,1020.6,0.0,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
246,new york,2021-09-11 06,18.3,18.3,11.6,65.18,0.0,0,,0.0,0.0,,9.0,272.0,1021.3,0.4,16.0,5.5,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
247,new york,2021-09-11 07,17.8,17.8,11.6,67.31,0.0,0,,0.0,0.0,,8.9,272.0,1022.0,0.4,16.0,12.0,0.0,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
